Lecturer ID,First Name,Last Name,Email,Age,Birthday,Password
L0,Deborah,Dupont,Deborah.Dupont@uwimona.edu.jm,30,1993-02-09,mVrrgKNqOm2t
L1,Dennis,Mann,Dennis.Mann@uwimona.edu.jm,40,1982-05-07,ErGc2nWVD9XPk7
L2,Tamara,Troutman,Tamara.Troutman@uwimona.edu.jm,30,1992-06-02,7SHzKsnc34n2wY
L3,Sandra,Jackson,Sandra.Jackson@uwimona.edu.jm,37,1985-06-19,ymqSQZdgRKw6t87E
L4,Tobi,Campagna,Tobi.Campagna@uwimona.edu.jm,33,1990-02-26,QRa3dFxljV91rP9
L5,Richard,Meyerhofer,Richard.Meyerhofer@uwimona.edu.jm,38,1984-12-09,yRmqxds1y2O1P97
L6,Carrie,Wells,Carrie.Wells@uwimona.edu.jm,40,1982-10-06,3LcKVRrACrCj1As
L7,Thomas,England,Thomas.England@uwimona.edu.jm,31,1991-07-04,jjRUvx40yIGy
L8,Kathryn,Farrell,Kathryn.Farrell@uwimona.edu.jm,33,1990-01-26,C3FAiqYyt4
L9,Wendy,Harnden,Wendy.Harnden@uwimona.edu.jm,32,1990-07-25,sHb3EE5CsW
L10,George,White,George.White@uwimona.edu.jm,36,1986-08-15,f8FtQGp3h
L11,Alan,Furfaro,Alan.Furfaro@uwimona.edu.jm,38,1985-03-08,zSRu0s0VOr9qFtPj
L12,Danielle,Smith,Danielle.Smith@uwimona.edu.jm,36,1987-01-07,RsQaUKJ9c1U
L13,Amy,Gonzales,Amy.Gonzales@uwimona.edu.jm,37,1985-04-28,ZpTXSRyqiV6jKhZ
L14,Robert,Shoulta,Robert.Shoulta@uwimona.edu.jm,39,1984-03-02,arc5aS99TlWEo9
L15,Rachel,Coryell,Rachel.Coryell@uwimona.edu.jm,31,1991-05-26,63q6dA8w13csJq
L16,Rebecca,Smith,Rebecca.Smith@uwimona.edu.jm,37,1986-03-29,CPbhXN45
L17,Roger,Kennedy,Roger.Kennedy@uwimona.edu.jm,32,1990-09-17,EMMpAkPdHQpd
L18,Larry,Valone,Larry.Valone@uwimona.edu.jm,37,1985-06-30,RQUlaZs39EPetz
L19,Bernard,Pryor,Bernard.Pryor@uwimona.edu.jm,37,1986-02-25,wsvOo9maD
L20,Rachel,Logan,Rachel.Logan@uwimona.edu.jm,40,1982-12-21,ylyzCreFIAAvWL
