Student ID,First Name,Last Name,Email,Age,Birthday,Password
S0,Darlene,Hernandez,Darlene.Hernandez@mymona.uwi.edu,19,2003-12-26,9sRpBrWuo66DP
S1,George,Cooper,George.Cooper@mymona.uwi.edu,24,1998-12-08,KlPRRofyAg
S2,Christine,Ferguson,Christine.Ferguson@mymona.uwi.edu,26,1996-08-20,uaI6pNPFetfRMLy
S3,James,Hudson,James.Hudson@mymona.uwi.edu,20,2002-04-12,ASNE1Q98OpK8B7t
S4,Monica,Smith,Monica.Smith@mymona.uwi.edu,27,1995-09-19,6uGuxse7D
S5,Ana,Rollo,Ana.Rollo@mymona.uwi.edu,22,2000-06-10,ItsWyh5aDQMjj
S6,Thomas,Mcphee,Thomas.Mcphee@mymona.uwi.edu,25,1998-02-02,AEb0Msec
S7,Walter,Webb,Walter.Webb@mymona.uwi.edu,18,2005-02-16,hMenS9ekCuTYAvu
S8,Edward,Hayes,Edward.Hayes@mymona.uwi.edu,19,2003-08-09,3AqglINPB
S9,Kathlene,Corral,Kathlene.Corral@mymona.uwi.edu,19,2003-04-15,XTm823BAx
